uuid,activation_date,total_cost,product_name,customer_gender,long,lat,country,follow_on_cost,downpmt_cost,contract_days,follow_on_days,receivable_per_day,organization,exchange_rate,adm2
80a17af1,2023-09-15,10964.91228,SunClassic,Female,36.866,1.337,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,SAMBURU
80a4dba3,2024-06-26,21929.82456,SunExtra + Radio,Female,36.681,3.139,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,MARSABIT
80a5c44c,2023-11-05,21929.82456,SunExtra + Radio,Male,37.165,-0.08,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,NYERI
80a9ace9,2023-11-02,102880.6584,SunSuper TV,Female,7.464,12.48,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Katsina
80acfd48,2024-06-01,41152.26337,SunCookstove,Female,10.04,9.95,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Bauchi
80aee8b9,2021-11-11,16447.36842,SunClassic + Radio,Male,36.147,1.677,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,TURKANA
80b9aae2,2024-07-30,10964.91228,SunClassic,Female,40.216,0.455,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,WAJIR
80bbb6b8,2023-07-13,82304.52675,SunExtra + Radio,Male,10.344,9.604,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Plateau
80bbd5f7,2024-06-05,16447.36842,SunClassic + Radio,Male,35.438,-0.285,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,KERICHO
80bf633d,2022-05-27,16447.36842,SunClassic + Radio,Male,36.467,1.714,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,TURKANA
80bfeada,2024-08-11,10964.91228,SunClassic,Female,36.351,-0.99,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,NAKURU
80c10710,2022-12-25,10964.91228,SunClassic,Male,35.384,-0.69,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,BOMET
80c3d419,2024-02-26,10964.91228,SunCookstove,Male,38.143,-0.689,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,KITUI
80c44488,2024-06-24,41152.26337,SunClassic,Male,6.559,11.875,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Zamfara
80c7bfd2,2023-10-13,10964.91228,SunClassic,Female,39.091,3.121,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
80c86b20,2024-08-17,16447.36842,SunClassic + Radio,Male,39.542,1.515,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,WAJIR
80cd0da2,2024-10-07,41152.26337,SunClassic,Female,7.38,9.009,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Federal Capital Territory
80cf7068,2022-05-07,10964.91228,SunCookstove,Male,38.359,3.198,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
80d222f5,2023-10-27,21929.82456,SunExtra + Radio,Female,39.424,3.099,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,WAJIR
80dc99de,2024-10-17,102880.6584,SunSuper TV,Female,8.841,8.232,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Nasarawa
80e50f03,2023-07-16,27412.2807,SunSuper TV,Male,39.209,0.342,Kenya,25219.29825,2192.982456,125,115,219.2982456,SunCompany,0.00912,GARISSA
80e5a078,2024-06-22,82304.52675,SunExtra + Radio,Male,6.867,10.994,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Kaduna
80e62103,2024-02-01,21929.82456,SunExtra + Radio,Male,39.218,2.707,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,WAJIR
80e6b930,2024-03-20,10964.91228,SunClassic,Male,35.965,2.383,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TURKANA
80ed0071,2024-07-18,21929.82456,SunExtra + Radio,Female,37.411,1.274,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,SAMBURU
80f15191,2023-08-15,41152.26337,SunClassic,Female,10.685,9.109,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Taraba
80f1ebfd,2024-08-03,10964.91228,SunClassic,Male,36.07,2.682,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TURKANA
80f26f47,2023-12-02,10964.91228,SunCookstove,Female,39.474,3.187,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,WAJIR
80fe5faa,2022-04-13,16447.36842,SunClassic + Radio,Female,35.791,-1.551,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,NAROK
81063a8f,2023-09-20,411522.6337,SunPump,Male,6.429,8.866,Nigeria,349794.2387,61728.39506,400,340,1028.806584,SunCompany,0.00243,Niger
810668b8,2024-08-28,109649.1228,SunPump,Male,37.212,3.267,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,MARSABIT
8108d084,2024-02-06,10964.91228,SunCookstove,Male,35.466,-0.687,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,NAROK
810ad391,2022-12-08,10964.91228,SunCookstove,Male,40.324,-1.353,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
810af8bd,2023-01-25,41152.26337,SunClassic,Male,8.414,12.325,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Kano
810baea1,2024-01-07,61728.39506,SunClassic + Radio,Female,5.949,11.74,Nigeria,57613.16872,4115.226337,150,140,411.5226337,SunCompany,0.00243,Zamfara
810cc7d9,2024-08-27,411522.6337,SunPump,Male,7.219,8.431,Nigeria,349794.2387,61728.39506,400,340,1028.806584,SunCompany,0.00243,Nasarawa
8.11E+11,2023-11-16,21929.82456,SunExtra + Radio,Female,37.65,1.906,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,MARSABIT
8114dc56,2024-06-17,21929.82456,SunExtra + Radio,Male,38.807,2.284,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,MARSABIT
81197fcf,2022-12-20,16447.36842,SunClassic + Radio,Female,37.724,3.128,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,MARSABIT
81198000,2024-10-19,16447.36842,SunClassic + Radio,Male,39.213,-1.168,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,TANA RIVER
81217b13,2024-06-01,109649.1228,SunPump,Male,37.841,1.728,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,MARSABIT
8121d4a6,2022-11-15,27412.2807,SunSuper TV,Female,40.233,1.325,Kenya,25219.29825,2192.982456,125,115,219.2982456,SunCompany,0.00912,WAJIR
8124473f,2022-11-14,10964.91228,SunClassic,Female,40.102,-0.51,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
8126a050,2024-01-04,10964.91228,SunCookstove,Male,40.266,-0.33,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
81287938,2023-11-12,102880.6584,SunSuper TV,Female,4.872,7.688,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Osun
812a86f9,2024-04-09,16447.36842,SunClassic + Radio,Male,36.291,-0.445,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,NAKURU
812d8514,2023-12-20,21929.82456,SunExtra + Radio,Female,40.49,0.567,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,WAJIR
81304ef6,2024-02-13,10964.91228,SunClassic,Male,35.917,-0.173,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,NAKURU
813371d3,2024-07-11,82304.52675,SunExtra + Radio,Male,4.988,9.48,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Niger
81360aca,2023-04-30,10964.91228,SunClassic,Male,40.165,-1.575,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
8138faa6,2024-08-16,10964.91228,SunClassic,Male,35.947,0.516,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,BARINGO
813a03fd,2023-12-08,61728.39506,SunClassic + Radio,Female,8.831,11.01,Nigeria,57613.16872,4115.226337,150,140,411.5226337,SunCompany,0.00243,Bauchi
813b4cd1,2023-03-21,41152.26337,SunCookstove,Male,5.519,7.558,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Ekiti
813fce23,2021-01-22,411522.6337,SunPump,Female,9.704,8.133,Nigeria,349794.2387,61728.39506,400,340,1028.806584,SunCompany,0.00243,Taraba
8142dccb,2023-08-04,16447.36842,SunClassic + Radio,Female,39.511,-0.486,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,TANA RIVER
814b3961,2022-12-20,21929.82456,SunExtra + Radio,Male,37.372,-0.912,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,MACHAKOS
814bd912,2023-11-11,41152.26337,SunCookstove,Male,8.084,11.739,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Kano
814f01c3,2022-07-19,61728.39506,SunClassic + Radio,Female,9.852,7.525,Nigeria,57613.16872,4115.226337,150,140,411.5226337,SunCompany,0.00243,Benue
81595999,2024-08-04,10964.91228,SunCookstove,Male,36.629,-0.057,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,LAIKIPIA
8159f078,2022-09-05,102880.6584,SunSuper TV,Female,6.799,8.666,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Federal Capital Territory
